record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
2310,10,30,1,10,10,10
4761,5,209,1,5,5,5
6176,1,277,1,1,1,1
1619,9,21,1,9,9,9
6610,7,41,1,7,7,7
3768,2,45,1,2,2,2
4007,12,346,1,12,12,12
5319,11,1164,1,11,11,11
2476,28,146,1,28,28,28
4013,8,118,1,8,8,8
2462,9,21,1,9,9,9
6604,10,893,1,10,10,10
6162,8,28,1,8,8,8
399,4,105,1,4,4,4
2304,10,156,2,10,45,27
4775,6,870,2,6,39,22
2853,14,1698,8,14,948,195
3595,5,19,1,5,5,5
1382,3,118,2,3,70,36
7095,13,61,2,13,31,22
170,11,4850,2,11,143,77
5682,38,269,2,38,50,44
5696,4,258,1,4,4,4
4588,7,178,1,7,7,7
7081,5,210,1,5,5,5
164,26,244,1,26,26,26
1396,11,368,1,11,11,11
602,26,88,2,26,45,35
2847,19,161,1,19,19,19
3581,21,457,1,21,21,21
5866,9,164,1,9,9,9
158,11,1353,2,11,83,47
5872,13,138,1,13,13,13
1341,15,313,2,15,46,30
2648,4,7,1,4,4,4
5127,11,56,1,11,11,11
4239,4,514,2,4,616,310
2890,12,281,1,12,12,12
3556,13,25,1,13,13,13
5899,7,22,1,7,7,7
3230,12,987,1,12,12,12
5641,15,13,1,15,15,15
1427,14,586,2,14,138,76
6348,35,335,1,35,35,35
7056,11,538,1,11,11,11
1433,3,1173,1,3,3,3
7042,22,304,1,22,22,22
3224,9,275,2,9,40,24
5655,3,105,7,3,21,16
5133,9,325,1,9,9,9
2884,10,66,1,10,10,10
3542,11,54,1,11,11,11
819,8,465,2,8,27,17
59,29,72,1,29,29,29
1355,9,189,1,9,9,9
2674,9,415,1,9,9,9
4205,6,212,1,6,6,6
831,11,687,1,11,11,11
6412,2,33,1,2,2,2
71,12,892,1,12,12,12
6374,2,87,1,2,2,2
4563,5,301,2,5,28,16
2112,14,10,1,14,14,14
3218,8,1842,1,8,8,8
4577,8,666,6,8,95,61
5669,3,25,1,3,3,3
2106,12,177,1,12,12,12
6360,11,2449,1,11,11,11
65,4,177,2,4,13,8
6406,5,435,1,5,5,5
1369,19,651,2,19,41,30
2660,10,66,1,10,10,10
4211,4,528,1,4,4,4
5090,19,57,1,19,19,19
2927,11,398,3,11,107,73
762,3,246,1,3,3,3
6599,6,136,1,6,6,6
1590,3,56,1,3,3,3
3387,1,419,1,1,1,1
2099,14,116,1,14,14,14
3393,17,510,2,17,122,69
1584,5,141,1,5,5,5
776,5,1475,1,5,5,5
5084,26,67,2,26,37,31
2933,29,3474,2,29,49,39
986,4,41,1,4,4,4
5912,8,86,1,8,8,8
5906,20,139,2,20,32,26
992,26,75,2,26,38,32
1235,17,47,1,17,17,17
979,11,265,1,11,11,11
3422,7,3938,1,7,7,7
5053,7,184,1,7,7,7
5735,2,45,2,2,61,31
3344,10,546,1,10,10,10
7122,7,46,1,7,7,7
1553,119,263,1,119,119,119
7136,11,1017,2,11,75,43
6228,2,112,2,2,221,111
1547,3,106,1,3,3,3
5721,15,156,1,15,15,15
3350,9,132,1,9,9,9
3436,40,6519,1,40,40,40
4359,2,334,1,2,2,2
5047,7,238,2,7,1419,713
2728,11,68,1,11,11,11
1221,25,243,1,25,25,25
4371,6,596,1,6,6,6
2700,7,156,1,7,7,7
1209,33,798,7,33,494,178
6566,3,114,1,3,3,3
945,9,619,1,9,9,9
6200,4,105,2,4,36,20
2066,1,54,1,1,1,1
5709,22,44,2,22,23,22
4417,9,818,1,9,9,9
3378,7,41,1,7,7,7
2072,24,58,1,24,24,24
4403,20,40,1,20,20,20
6214,5,197,1,5,5,5
789,5,247,1,5,5,5
6572,10,68,1,10,10,10
951,9,365,1,9,9,9
4365,7,341,1,7,7,7
